"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Diabetes, adults aged 18+","","2022","Antigua and Barbuda","Region of the Americas","Males","","17.827974319","5.824922562","35.994758606","",
"Diabetes, adults aged 18+","","2022","Antigua and Barbuda","Region of the Americas","Females","","22.469989777","8.30030632","42.413269043","",
"Diabetes, adults aged 18+","","2022","Argentina","Region of the Americas","Total","","10.583719254","6.898197651","15.066761971","",
"Diabetes, adults aged 18+","","2022","Argentina","Region of the Americas","Males","","10.7022686","5.806904793","17.145454407","",
"Diabetes, adults aged 18+","","2022","Argentina","Region of the Americas","Females","","10.411899567","5.432065964","16.998855591","",
"Diabetes, adults aged 18+","","2022","Armenia","European Region","Total","","11.727369308","7.006271362","17.930562973","",
"Diabetes, adults aged 18+","","2022","Armenia","European Region","Males","","12.811422348","5.988445759","22.633195877","",
"Diabetes, adults aged 18+","","2022","Armenia","European Region","Females","","10.574580193","4.818724155","18.676156998","",
"Diabetes, adults aged 18+","","2022","Australia","Western Pacific Region","Total","","8.102646828","4.26504612","13.310516357","",
"Diabetes, adults aged 18+","","2022","Australia","Western Pacific Region","Males","","7.883242607","3.357806444","14.829510689","",
"Diabetes, adults aged 18+","","2022","Australia","Western Pacific Region","Females","","8.356414795","2.991523027","16.729927063","",
"Diabetes, adults aged 18+","","2022","Austria","European Region","Total","","5.184315681","2.305907488","9.530405998","",
"Diabetes, adults aged 18+","","2022","Austria","European Region","Males","","5.692657471","1.725799203","12.689455032","",
"Diabetes, adults aged 18+","","2022","Austria","European Region","Females","","4.697402","1.389157295","10.696835518","",
"Diabetes, adults aged 18+","","2022","Azerbaijan","European Region","Total","","13.562838554","8.614052773","19.662614822","",
"Diabetes, adults aged 18+","","2022","Azerbaijan","European Region","Males","","11.315205574","5.568311691","19.140218735","",
"Diabetes, adults aged 18+","","2022","Azerbaijan","European Region","Females","","15.360084534","8.020290375","24.92780304","",
"Diabetes, adults aged 18+","","2022","Bahamas","Region of the Americas","Total","","18.860691071","13.563862801","25.057468414","",
"Diabetes, adults aged 18+","","2022","Bahamas","Region of the Americas","Males","","17.053646088","10.340880394","25.25985527","",
"Diabetes, adults aged 18+","","2022","Bahamas","Region of the Americas","Females","","20.525001526","12.867313385","29.644145966","",
"Diabetes, adults aged 18+","","2022","Bahrain","Eastern Mediterranean Region","Total","","21.392778397","12.645277023","31.98141098","",
"Diabetes, adults aged 18+","","2022","Bahrain","Eastern Mediterranean Region","Males","","20.260393143","9.013729095","35.492336273","",
"Diabetes, adults aged 18+","","2022","Bahrain","Eastern Mediterranean Region","Females","","22.874101639","10.638600349","38.671730042","",
"Diabetes, adults aged 18+","","2022","Bangladesh","South-East Asia Region","Total","","17.904941559","13.15969944","23.442094803","",
"Diabetes, adults aged 18+","","2022","Bangladesh","South-East Asia Region","Males","","16.096601486","9.855735779","23.7336483","",
"Diabetes, adults aged 18+","","2022","Bangladesh","South-East Asia Region","Females","","19.667240143","12.862626076","27.728738785","",
"Diabetes, adults aged 18+","","2022","Barbados","Region of the Americas","Total","","22.369771957","13.892390251","32.785938263","",
"Diabetes, adults aged 18+","","2022","Barbados","Region of the Americas","Males","","18.896656036","8.943211555","31.971662521","",
"Diabetes, adults aged 18+","","2022","Barbados","Region of the Americas","Females","","25.475376129","12.915902138","41.817531586","",
"Diabetes, adults aged 18+","","2022","Belarus","European Region","Total","","7.71755743","5.588135719","10.354259491","",
"Diabetes, adults aged 18+","","2022","Belarus","European Region","Males","","7.723495483","4.825863361","11.359215736","",
"Diabetes, adults aged 18+","","2022","Belarus","European Region","Females","","7.71574688","4.745642185","11.461169243","",
"Diabetes, adults aged 18+","","2022","Belgium","European Region","Total","","6.729259491","4.236095905","10.031354904","",
"Diabetes, adults aged 18+","","2022","Belgium","European Region","Males","","6.716999531","3.530294895","11.236288071","",
"Diabetes, adults aged 18+","","2022","Belgium","European Region","Females","","6.694303989","3.429030895","11.615006447","",
"Diabetes, adults aged 18+","","2022","Belize","Region of the Americas","Total","","18.982446671","9.804700851","30.755435944","",
"Diabetes, adults aged 18+","","2022","Belize","Region of the Americas","Males","","16.317195892","5.694317818","32.141941071","",
"Diabetes, adults aged 18+","","2022","Belize","Region of the Americas","Females","","21.579357147","8.416147232","39.901889801","",
"Diabetes, adults aged 18+","","2022","Benin","African Region","Total","","12.105154991","6.748332024","19.367265701","",
"Diabetes, adults aged 18+","","2022","Benin","African Region","Males","","11.576674461","4.926558018","21.655754089","",
"Diabetes, adults aged 18+","","2022","Benin","African Region","Females","","12.627892494","5.32991457","23.814573288","",
"Diabetes, adults aged 18+","","2022","Bermuda","Region of the Americas","Total","","20.341638565","10.264871597","33.637950897","",
"Diabetes, adults aged 18+","","2022","Bermuda","Region of the Americas","Males","","17.963405609","5.955583572","35.792808533","",
"Diabetes, adults aged 18+","","2022","Bermuda","Region of the Americas","Females","","22.597938538","8.488702774","43.458766937","",
"Diabetes, adults aged 18+","","2022","Bhutan","South-East Asia Region","Total","","15.531704903","10.257359505","21.703271866","",
"Diabetes, adults aged 18+","","2022","Bhutan","South-East Asia Region","Males","","14.84833622","8.029279709","23.304199219","",
"Diabetes, adults aged 18+","","2022","Bhutan","South-East Asia Region","Females","","16.325345993","8.76584816","26.116279602","",
"Diabetes, adults aged 18+","","2022","Bolivia (Plurinational State of)","Region of the Americas","Total","","17.281085968","7.882466316","29.741943359","",
"Diabetes, adults aged 18+","","2022","Bolivia (Plurinational State of)","Region of the Americas","Males","","19.656173706","6.021673203","39.355522156","",
"Diabetes, adults aged 18+","","2022","Bolivia (Plurinational State of)","Region of the Americas","Females","","14.859565735","4.147818089","32.193244934","",
"Diabetes, adults aged 18+","","2022","Bosnia and Herzegovina","European Region","Total","","13.206930161","7.374036312","20.958414078","",
"Diabetes, adults aged 18+","","2022","Bosnia and Herzegovina","European Region","Males","","13.325956345","5.573017597","25.066846848","",
"Diabetes, adults aged 18+","","2022","Bosnia and Herzegovina","European Region","Females","","12.933811188","5.323577881","24.130872726","",
"Diabetes, adults aged 18+","","2022","Botswana","African Region","Total","","8.969569206","4.381530762","15.573592186","",
"Diabetes, adults aged 18+","","2022","Botswana","African Region","Males","","8.261601448","2.912654638","16.930074692","",
"Diabetes, adults aged 18+","","2022","Botswana","African Region","Females","","9.698196411","3.258837461","20.207056046","",
"Diabetes, adults aged 18+","","2022","Brazil","Region of the Americas","Total","","12.926795006","8.213088036","19.039825439","",
"Diabetes, adults aged 18+","","2022","Brazil","Region of the Americas","Males","","11.684970856","5.712440014","20.355581284","",
"Diabetes, adults aged 18+","","2022","Brazil","Region of the Americas","Females","","13.968689919","7.437045097","23.18106842","",
"Diabetes, adults aged 18+","","2022","Brunei Darussalam","Western Pacific Region","Total","","19.538551331","13.279673576","26.811758041","",
"Diabetes, adults aged 18+","","2022","Brunei Darussalam","Western Pacific Region","Males","","18.556655884","10.228347778","28.907159805","",
"Diabetes, adults aged 18+","","2022","Brunei Darussalam","Western Pacific Region","Females","","20.520082474","11.598446846","31.487083435","",
"Diabetes, adults aged 18+","","2022","Bulgaria","European Region","Total","","10.747393608","4.658054829","19.48982048","",
"Diabetes, adults aged 18+","","2022","Bulgaria","European Region","Males","","12.255847931","3.57414031","26.019975662","",
"Diabetes, adults aged 18+","","2022","Bulgaria","European Region","Females","","9.228083611","2.352059603","21.389665604","",
"Diabetes, adults aged 18+","","2022","Burkina Faso","African Region","Total","","12.266627312","8.534276009","16.739160538","",
"Diabetes, adults aged 18+","","2022","Burkina Faso","African Region","Males","","12.889727592","7.757021427","19.669765472","",
"Diabetes, adults aged 18+","","2022","Burkina Faso","African Region","Females","","11.684617996","6.773425102","17.989480972","",
"Diabetes, adults aged 18+","","2022","Burundi","African Region","Total","","8.756463051","3.370135546","17.450309753","",
"Diabetes, adults aged 18+","","2022","Burundi","African Region","Males","","7.920906067","1.819321275","19.52154541","",
"Diabetes, adults aged 18+","","2022","Burundi","African Region","Females","","9.545763969","2.202209949","22.863485336","",
"Diabetes, adults aged 18+","","2022","Cabo Verde","African Region","Total","","8.558950424","5.682091236","11.977847099","",
"Diabetes, adults aged 18+","","2022","Cabo Verde","African Region","Males","","7.976016998","4.34510088","12.750227928","",
"Diabetes, adults aged 18+","","2022","Cabo Verde","African Region","Females","","9.219391823","5.12633276","14.392566681","",
"Diabetes, adults aged 18+","","2022","Cambodia","Western Pacific Region","Total","","10.6602211","7.978135109","13.648098946","",
"Diabetes, adults aged 18+","","2022","Cambodia","Western Pacific Region","Males","","9.770510674","6.302417278","14.085165024","",
"Diabetes, adults aged 18+","","2022","Cambodia","Western Pacific Region","Females","","11.361226082","7.637796402","15.823386192","",
"Diabetes, adults aged 18+","","2022","Cameroon","African Region","Total","","17.645513535","10.98561573","25.541437149","",
"Diabetes, adults aged 18+","","2022","Cameroon","African Region","Males","","16.484424591","8.52497673","27.68214035","",
"Diabetes, adults aged 18+","","2022","Cameroon","African Region","Females","","18.832263947","9.448575974","31.466690063","",
"Diabetes, adults aged 18+","","2022","Canada","Region of the Americas","Total","","6.826037407","4.877951145","9.214692116","",
"Diabetes, adults aged 18+","","2022","Canada","Region of the Americas","Males","","8.079761505","5.237567425","11.730572701","",
"Diabetes, adults aged 18+","","2022","Canada","Region of the Americas","Females","","5.710778236","3.299386501","8.959584236","",
"Diabetes, adults aged 18+","","2022","Central African Republic","African Region","Total","","18.929449081","9.306435585","31.839748383","",
"Diabetes, adults aged 18+","","2022","Central African Republic","African Region","Males","","18.306137085","6.460270405","36.242103577","",
"Diabetes, adults aged 18+","","2022","Central African Republic","African Region","Females","","19.418832779","6.687184334","39.609291077","",
"Diabetes, adults aged 18+","","2022","Chad","African Region","Total","","11.283427238","4.816449642","20.907487869","",
"Diabetes, adults aged 18+","","2022","Chad","African Region","Males","","10.509381294","2.79886961","23.643060684","",
"Diabetes, adults aged 18+","","2022","Chad","African Region","Females","","12.037219048","3.128763676","27.65366745","",
"Diabetes, adults aged 18+","","2022","Chile","Region of the Americas","Total","","13.97957325","8.950160027","20.31735611","",
"Diabetes, adults aged 18+","","2022","Chile","Region of the Americas","Males","","11.554824829","5.742418766","19.368621826","",
"Diabetes, adults aged 18+","","2022","Chile","Region of the Americas","Females","","16.307613373","8.464017868","26.469528198","",
"Diabetes, adults aged 18+","","2022","China","Western Pacific Region","Total","","11.223083496","7.627937794","15.44916153","",
"Diabetes, adults aged 18+","","2022","China","Western Pacific Region","Males","","12.883973122","7.380591869","19.732051849","",
"Diabetes, adults aged 18+","","2022","China","Western Pacific Region","Females","","9.401377678","5.372579575","14.722383499","",
"Diabetes, adults aged 18+","","2022","Colombia","Region of the Americas","Total","","12.276120186","7.487381935","18.298669815","",
"Diabetes, adults aged 18+","","2022","Colombia","Region of the Americas","Males","","12.259310722","5.952749252","21.580871582","",
"Diabetes, adults aged 18+","","2022","Colombia","Region of the Americas","Females","","12.203978539","6.037032604","20.565120697","",
"Diabetes, adults aged 18+","","2022","Comoros","African Region","Total","","6.187093735","2.604040384","11.83131218","",
"Diabetes, adults aged 18+","","2022","Comoros","African Region","Males","","5.608005524","1.597947955","12.810415268","",
"Diabetes, adults aged 18+","","2022","Comoros","African Region","Females","","6.782763481","1.875946522","15.950550079","",
"Diabetes, adults aged 18+","","2022","Congo","African Region","Total","","12.888486862","6.953661919","20.565423965","",
"Diabetes, adults aged 18+","","2022","Congo","African Region","Males","","12.764453888","5.352555752","23.597126007","",
"Diabetes, adults aged 18+","","2022","Congo","African Region","Females","","13.056471825","5.178186893","24.981168747","",
"Diabetes, adults aged 18+","","2022","Cook Islands","Western Pacific Region","Total","","27.850193024","22.361351013","33.761859894","",
"Diabetes, adults aged 18+","","2022","Cook Islands","Western Pacific Region","Males","","27.617120743","20.17370224","35.867656708","",
"Diabetes, adults aged 18+","","2022","Cook Islands","Western Pacific Region","Females","","28.065002441","20.395786285","36.787269592","",
"Diabetes, adults aged 18+","","2022","Costa Rica","Region of the Americas","Total","","23.181282043","17.019254684","29.91409874","",
"Diabetes, adults aged 18+","","2022","Costa Rica","Region of the Americas","Males","","23.225528717","14.74489975","33.50038147","",
"Diabetes, adults aged 18+","","2022","Costa Rica","Region of the Americas","Females","","22.9796772","15.083964348","32.801921844","",
"Diabetes, adults aged 18+","","2022","Côte d'Ivoire","African Region","Total","","11.289453506","4.526366711","21.404808044","",
"Diabetes, adults aged 18+","","2022","Côte d'Ivoire","African Region","Males","","10.617442131","2.739526749","24.219564438","",
"Diabetes, adults aged 18+","","2022","Côte d'Ivoire","African Region","Females","","12.022007942","3.100648403","27.932813644","",
"Diabetes, adults aged 18+","","2022","Croatia","European Region","Total","","9.09649086","6.443022728","12.208100319","",
"Diabetes, adults aged 18+","","2022","Croatia","European Region","Males","","11.583381653","7.228846073","17.15738678","",
"Diabetes, adults aged 18+","","2022","Croatia","European Region","Females","","6.675742626","4.021631718","10.071965218","",
"Diabetes, adults aged 18+","","2022","Cuba","Region of the Americas","Total","","11.772807121","8.068002701","16.156764984","",
"Diabetes, adults aged 18+","","2022","Cuba","Region of the Americas","Males","","11.163819313","6.313070774","17.440086365","",
"Diabetes, adults aged 18+","","2022","Cuba","Region of the Americas","Females","","12.265753746","7.160814285","18.772367477","",
"Diabetes, adults aged 18+","","2022","Cyprus","European Region","Total","","7.267233849","2.929506779","13.96161747","",
"Diabetes, adults aged 18+","","2022","Cyprus","European Region","Males","","8.884438515","2.55687499","19.927825928","",
"Diabetes, adults aged 18+","","2022","Cyprus","European Region","Females","","5.740045071","1.2386235","14.68297863","",
"Diabetes, adults aged 18+","","2022","Czechia","European Region","Total","","7.718007088","5.51807642","10.255942345","",
"Diabetes, adults aged 18+","","2022","Czechia","European Region","Males","","9.345921516","5.913379669","13.464774132","",
"Diabetes, adults aged 18+","","2022","Czechia","European Region","Females","","6.161673546","3.632679224","9.411614418","",
"Diabetes, adults aged 18+","","2022","Democratic People's Republic of Korea","South-East Asia Region","Total","","13.647921562","6.113885403","24.093442917","",
"Diabetes, adults aged 18+","","2022","Democratic People's Republic of Korea","South-East Asia Region","Males","","12.522978783","3.481617928","27.121576309","",
"Diabetes, adults aged 18+","","2022","Democratic People's Republic of Korea","South-East Asia Region","Females","","14.644789696","4.573266029","31.251203537","",
"Diabetes, adults aged 18+","","2022","Democratic Republic of the Congo","African Region","Total","","9.3288908","4.879839897","15.433545113","",
"Diabetes, adults aged 18+","","2022","Democratic Republic of the Congo","African Region","Males","","8.65996933","3.360341072","17.093870163","",
"Diabetes, adults aged 18+","","2022","Democratic Republic of the Congo","African Region","Females","","9.963295937","3.803212643","19.54318428","",
"Diabetes, adults aged 18+","","2022","Denmark","European Region","Total","","2.325119734","1.675852895","3.091339111","",
"Diabetes, adults aged 18+","","2022","Denmark","European Region","Males","","2.758574247","1.754483342","4.032605648","",
"Diabetes, adults aged 18+","","2022","Denmark","European Region","Females","","1.903989196","1.164514065","2.880385637","",
"Diabetes, adults aged 18+","","2022","Djibouti","Eastern Mediterranean Region","Total","","8.713864326","3.336900949","16.97120285","",
"Diabetes, adults aged 18+","","2022","Djibouti","Eastern Mediterranean Region","Males","","7.901203632","1.878886461","19.379005432","",
"Diabetes, adults aged 18+","","2022","Djibouti","Eastern Mediterranean Region","Females","","9.488512039","2.160827398","23.202518463","",
"Diabetes, adults aged 18+","","2022","Dominica","Region of the Americas","Total","","22.725168228","12.643584251","35.021823883","",
"Diabetes, adults aged 18+","","2022","Dominica","Region of the Americas","Males","","17.485652924","6.469744682","34.159057617","",
"Diabetes, adults aged 18+","","2022","Dominica","Region of the Americas","Females","","28.045289993","12.265005112","48.317344666","",
"Diabetes, adults aged 18+","","2022","Dominican Republic","Region of the Americas","Total","","17.521364212","9.814378738","27.644046783","",
"Diabetes, adults aged 18+","","2022","Dominican Republic","Region of the Americas","Males","","16.661262512","7.051674843","31.209594727","",
"Diabetes, adults aged 18+","","2022","Dominican Republic","Region of the Americas","Females","","18.306760788","7.5363307","33.447952271","",
"Diabetes, adults aged 18+","","2022",,"Eastern Mediterranean Region","Total","","23.248994827","20.559919357","26.040756226","",
"Diabetes, adults aged 18+","","2022",,"Eastern Mediterranean Region","Males","","22.669094086","19.088508606","26.665487289","",
"Diabetes, adults aged 18+","","2022",,"Eastern Mediterranean Region","Females","","23.748226166","19.932182312","27.914133072","",
"Diabetes, adults aged 18+","","2022","Ecuador","Region of the Americas","Total","","12.659671783","8.17538929","17.94036293","",
"Diabetes, adults aged 18+","","2022","Ecuador","Region of the Americas","Males","","12.44093895","6.785395622","20.244098663","",
"Diabetes, adults aged 18+","","2022","Ecuador","Region of the Americas","Females","","12.828297615","6.646666527","20.939081192","",
"Diabetes, adults aged 18+","","2022","Egypt","Eastern Mediterranean Region","Total","","27.781707764","20.631187439","35.371063232","",
"Diabetes, adults aged 18+","","2022","Egypt","Eastern Mediterranean Region","Males","","26.319915771","16.385303497","37.595252991","",
"Diabetes, adults aged 18+","","2022","Egypt","Eastern Mediterranean Region","Females","","28.792491913","18.689027786","40.231388092","",
"Diabetes, adults aged 18+","","2022","El Salvador","Region of the Americas","Total","","12.835508347","7.600097179","19.467658997","",
"Diabetes, adults aged 18+","","2022","El Salvador","Region of the Americas","Males","","11.325497627","5.105390549","20.363231659","",
"Diabetes, adults aged 18+","","2022","El Salvador","Region of the Americas","Females","","13.882734299","6.605066299","24.032827377","",
"Diabetes, adults aged 18+","","2022","Equatorial Guinea","African Region","Total","","13.353064537","5.284211159","25.270578384","",
"Diabetes, adults aged 18+","","2022","Equatorial Guinea","African Region","Males","","12.986988068","3.344859838","29.464775085","",
"Diabetes, adults aged 18+","","2022","Equatorial Guinea","African Region","Females","","13.843223572","3.33040905","32.373588562","",
"Diabetes, adults aged 18+","","2022","Eritrea","African Region","Total","","8.575242043","3.704794884","15.64643383","",
"Diabetes, adults aged 18+","","2022","Eritrea","African Region","Males","","8.403837204","2.516980648","18.248826981","",
"Diabetes, adults aged 18+","","2022","Eritrea","African Region","Females","","8.713614464","2.511211157","19.684566498","",
"Diabetes, adults aged 18+","","2022","Estonia","European Region","Total","","8.784572601","3.726974487","16.894216537","",
"Diabetes, adults aged 18+","","2022","Estonia","European Region","Males","","8.247238159","2.375179052","19.050069809","",
"Diabetes, adults aged 18+","","2022","Estonia","European Region","Females","","9.186795235","2.378546238","21.794418335","",
"Diabetes, adults aged 18+","","2022","Eswatini","African Region","Total","","12.00023365","6.299648285","19.689720154","",
"Diabetes, adults aged 18+","","2022","Eswatini","African Region","Males","","9.69499588","3.687063932","19.132637024","",
"Diabetes, adults aged 18+","","2022","Eswatini","African Region","Females","","14.024214745","5.571657181","26.751836777","",
"Diabetes, adults aged 18+","","2022","Ethiopia","African Region","Total","","6.785836697","3.44822526","11.565203667","",
"Diabetes, adults aged 18+","","2022","Ethiopia","African Region","Males","","6.17586422","2.262050867","12.607370377","",
"Diabetes, adults aged 18+","","2022","Ethiopia","African Region","Females","","7.385993004","2.61006999","14.707700729","",
"Diabetes, adults aged 18+","","2022",,"European Region","Total","","8.68403244","7.789373398","9.664952278","",
"Diabetes, adults aged 18+","","2022",,"European Region","Males","","9.338055611","8.006492615","10.777032852","",
"Diabetes, adults aged 18+","","2022",,"European Region","Females","","8.094322205","6.824263096","9.556814194","",
"Diabetes, adults aged 18+","","2022","Fiji","Western Pacific Region","Total","","23.422409058","13.460695267","35.086933136","",
"Diabetes, adults aged 18+","","2022","Fiji","Western Pacific Region","Males","","21.003816605","9.443053246","36.392433167","",
"Diabetes, adults aged 18+","","2022","Fiji","Western Pacific Region","Females","","25.780004501","10.654756546","44.049404144","",
"Diabetes, adults aged 18+","","2022","Finland","European Region","Total","","7.371862411","5.504946709","9.531546593","",
"Diabetes, adults aged 18+","","2022","Finland","European Region","Males","","8.351941109","5.681074619","11.608507156","",
"Diabetes, adults aged 18+","","2022","Finland","European Region","Females","","6.413813114","4.048392773","9.345552444","",
"Diabetes, adults aged 18+","","2022","France","European Region","Total","","2.688156366","1.997875571","3.536641121","",
"Diabetes, adults aged 18+","","2022","France","European Region","Males","","3.73263073","2.519488811","5.193986893","",
"Diabetes, adults aged 18+","","2022","France","European Region","Females","","1.789082766","1.083575487","2.738710642","",
"Diabetes, adults aged 18+","","2022","French Polynesia","Western Pacific Region","Total","","16.718139648","8.521776199","27.474617004","",
"Diabetes, adults aged 18+","","2022","French Polynesia","Western Pacific Region","Males","","16.634990692","6.300098419","31.495168686","",
"Diabetes, adults aged 18+","","2022","French Polynesia","Western Pacific Region","Females","","16.829582214","5.835848331","33.897621155","",
"Diabetes, adults aged 18+","","2022","Gabon","African Region","Total","","13.493792534","5.398909092","25.33603096","",
"Diabetes, adults aged 18+","","2022","Gabon","African Region","Males","","13.165073395","3.526750565","29.585002899","",
"Diabetes, adults aged 18+","","2022","Gabon","African Region","Females","","13.876068115","3.244920731","32.644767761","",
"Diabetes, adults aged 18+","","2022","Gambia","African Region","Total","","13.287597656","7.176165104","21.557403564","",
"Diabetes, adults aged 18+","","2022","Gambia","African Region","Males","","10.607783318","2.823804855","25.124263763","",
"Diabetes, adults aged 18+","","2022","Gambia","African Region","Females","","15.782986641","7.684535503","26.172172546","",
"Diabetes, adults aged 18+","","2022","Georgia","European Region","Total","","9.350485802","5.434353352","14.503190041","",
"Diabetes, adults aged 18+","","2022","Georgia","European Region","Males","","9.299848557","4.009672642","16.682157516","",
"Diabetes, adults aged 18+","","2022","Georgia","European Region","Females","","9.215864182","4.005419254","16.549766541","",
"Diabetes, adults aged 18+","","2022","Germany","European Region","Total","","6.58916378","4.112414837","9.56573391","",
"Diabetes, adults aged 18+","","2022","Germany","European Region","Males","","8.014743805","4.439172268","12.750395775","",
"Diabetes, adults aged 18+","","2022","Germany","European Region","Females","","5.246462822","2.486058712","9.170653343","",
"Diabetes, adults aged 18+","","2022","Ghana","African Region","Total","","10.393508911","7.410789967","14.008224487","",
"Diabetes, adults aged 18+","","2022","Ghana","African Region","Males","","9.675914764","5.779800415","14.602046013","",
"Diabetes, adults aged 18+","","2022","Ghana","African Region","Females","","11.111778259","6.88542366","16.511362076","",
"Diabetes, adults aged 18+","","2022","Greece","European Region","Total","","7.242736816","4.416623116","10.916693687","",
"Diabetes, adults aged 18+","","2022","Greece","European Region","Males","","8.6603899","4.383032799","14.664484978","",
"Diabetes, adults aged 18+","","2022","Greece","European Region","Females","","5.981793404","2.661026478","10.96131897","",
"Diabetes, adults aged 18+","","2022","Greenland","European Region","Total","","6.353798389","3.968610287","9.400880814","",
"Diabetes, adults aged 18+","","2022","Greenland","European Region","Males","","6.738374233","3.503211975","11.220308304","",
"Diabetes, adults aged 18+","","2022","Greenland","European Region","Females","","5.885990143","2.864998579","10.209877968","",
"Diabetes, adults aged 18+","","2022","Grenada","Region of the Americas","Total","","20.214981079","9.989893913","33.96105957","",
"Diabetes, adults aged 18+","","2022","Grenada","Region of the Americas","Males","","17.931488037","5.893736839","36.393634796","",
"Diabetes, adults aged 18+","","2022","Grenada","Region of the Americas","Females","","22.478204727","8.118829727","43.294830322","",
"Diabetes, adults aged 18+","","2022","Guatemala","Region of the Americas","Total","","19.330163956","13.969202042","25.417045593","",
"Diabetes, adults aged 18+","","2022","Guatemala","Region of the Americas","Males","","21.7409935","12.647512436","32.530441284","",
"Diabetes, adults aged 18+","","2022","Guatemala","Region of the Americas","Females","","17.033130646","11.177654266","23.623895645","",
"Diabetes, adults aged 18+","","2022","Guinea","African Region","Total","","10.313792229","4.684053898","18.605945587","",
"Diabetes, adults aged 18+","","2022","Guinea","African Region","Males","","9.370391846","2.805067301","20.054618835","",
"Diabetes, adults aged 18+","","2022","Guinea","African Region","Females","","11.138525009","3.392544746","24.231948853","",
"Diabetes, adults aged 18+","","2022","Guinea-Bissau","African Region","Total","","11.354680061","4.722930431","21.574632645","",
"Diabetes, adults aged 18+","","2022","Guinea-Bissau","African Region","Males","","10.617242813","2.788071632","24.584688187","",
"Diabetes, adults aged 18+","","2022","Guinea-Bissau","African Region","Females","","12.026351929","3.210877657","29.179063797","",
"Diabetes, adults aged 18+","","2022","Guyana","Region of the Americas","Total","","22.136974335","14.811629295","30.656057358","",
"Diabetes, adults aged 18+","","2022","Guyana","Region of the Americas","Males","","18.830968857","9.989254951","30.106929779","",
"Diabetes, adults aged 18+","","2022","Guyana","Region of the Americas","Females","","24.96963501","14.10150528","38.254863739","",
"Diabetes, adults aged 18+","","2022","Haiti","Region of the Americas","Total","","23.665842056","14.785088539","33.867721558","",
"Diabetes, adults aged 18+","","2022","Haiti","Region of the Americas","Males","","22.981718063","11.814460754","37.189498901","",
"Diabetes, adults aged 18+","","2022","Haiti","Region of the Americas","Females","","24.131999969","11.83210659","39.629535675","",
"Diabetes, adults aged 18+","","2022","Honduras","Region of the Americas","Total","","13.309738159","5.934650898","23.484884262","",
"Diabetes, adults aged 18+","","2022","Honduras","Region of the Americas","Males","","12.574041367","3.824552059","27.501279831","",
